Fish ID,Fish Name,Affected Structure or Process 1 superterm Name,Publication ID,Gene Symbol,tissue_system
ZDB-FISH-160217-1,WT + MO1-nipbla + MO1-nipblb,eye,ZDB-PUB-141108-5,nipbla,Nervous
ZDB-FISH-160217-1,WT + MO1-nipbla + MO1-nipblb,head,ZDB-PUB-141108-5,nipbla,Skeletal
ZDB-FISH-160217-1,WT + MO1-nipbla + MO1-nipblb,embryo development,ZDB-PUB-141108-5,nipbla,Embryo
ZDB-FISH-160217-1,WT + MO1-nipbla + MO1-nipblb,cranial cartilage,ZDB-PUB-141108-5,nipbla,Skeletal
ZDB-FISH-160217-1,WT + MO1-nipbla + MO1-nipblb,heart contraction,ZDB-PUB-141108-5,nipbla,Circulatory
ZDB-FISH-160217-1,WT + MO1-nipbla + MO1-nipblb,heart,ZDB-PUB-141108-5,nipbla,Circulatory
ZDB-FISH-150901-4291,AB + MO3-nipblb,apoptotic process,ZDB-PUB-131119-22,nipblb,Cell process
ZDB-FISH-150901-4291,AB + MO3-nipblb,central nervous system development,ZDB-PUB-131119-22,nipblb,Nervous
ZDB-FISH-150901-4291,AB + MO3-nipblb,regulation of canonical Wnt signaling pathway,ZDB-PUB-131119-22,nipblb,Cell process
ZDB-FISH-150901-4291,AB + MO3-nipblb,brain,ZDB-PUB-131119-22,nipblb,Nervous
ZDB-FISH-150901-4291,AB + MO3-nipblb,eye,ZDB-PUB-131119-22,nipblb,Nervous
ZDB-FISH-150901-4291,AB + MO3-nipblb,post-vent region,ZDB-PUB-131119-22,nipblb,Skeletal
ZDB-FISH-150901-4291,AB + MO3-nipblb,neural tube,ZDB-PUB-131119-22,nipblb,Nervous
ZDB-FISH-150901-4291,AB + MO3-nipblb,cell population proliferation,ZDB-PUB-150725-3,nipblb,Cell process
ZDB-FISH-150901-4291,AB + MO3-nipblb,whole organism,ZDB-PUB-150725-3,nipblb,Whole organism
ZDB-FISH-150901-4291,AB + MO3-nipblb,caudal hematopoietic tissue,ZDB-PUB-190113-12,nipblb,Circulatory
ZDB-FISH-150901-4291,AB + MO3-nipblb,ventral wall of dorsal aorta,ZDB-PUB-200424-6,nipblb,Circulatory
ZDB-FISH-150901-4291,AB + MO3-nipblb,nucleate erythrocyte,ZDB-PUB-200424-6,nipblb,Circulatory
ZDB-FISH-210315-1,la2Tg + MO3-nipblb,hematopoietic stem cell,ZDB-PUB-190113-12,nipblb,Circulatory
ZDB-FISH-150901-11087,sb3Tg + MO3-pax3a,dorsal root ganglion,ZDB-PUB-080422-3,pax3a,Nervous
ZDB-FISH-150901-11087,sb3Tg + MO3-pax3a,trunk,ZDB-PUB-080422-3,pax3a,Skeletal
ZDB-FISH-150901-13710,WT + MO3-pax3a,head,ZDB-PUB-080422-3,pax3a,Skeletal
ZDB-FISH-150901-13710,WT + MO3-pax3a,neural crest cell migration,ZDB-PUB-080422-3,pax3a,Nervous
ZDB-FISH-150901-13710,WT + MO3-pax3a,melanocyte differentiation,ZDB-PUB-080422-3,pax3a,Skin
ZDB-FISH-150901-13710,WT + MO3-pax3a,xanthophore differentiation,ZDB-PUB-080422-3,pax3a,Skin
ZDB-FISH-150901-13710,WT + MO3-pax3a,cranial neural crest cell,ZDB-PUB-080422-3,pax3a,Nervous
ZDB-FISH-150901-13710,WT + MO3-pax3a,trunk neural crest cell,ZDB-PUB-080422-3,pax3a,Nervous
ZDB-FISH-150901-13710,WT + MO3-pax3a,neural crest cell,ZDB-PUB-080422-3,pax3a,Nervous
ZDB-FISH-150901-13710,WT + MO3-pax3a,melanoblast,ZDB-PUB-080422-3,pax3a,Skin
ZDB-FISH-150901-13710,WT + MO3-pax3a,presumptive enteric nervous system,ZDB-PUB-080422-3,pax3a,Nervous
ZDB-FISH-150901-13710,WT + MO3-pax3a,enteric nervous system development,ZDB-PUB-080422-3,pax3a,Nervous
ZDB-FISH-150901-13710,WT + MO3-pax3a,neural plate,ZDB-PUB-080422-3,pax3a,Nervous
ZDB-FISH-150901-13710,WT + MO3-pax3a,cranial neural crest,ZDB-PUB-080422-3,pax3a,Nervous
ZDB-FISH-150901-13710,WT + MO3-pax3a,enteric nervous system,ZDB-PUB-080422-3,pax3a,Nervous
ZDB-FISH-150901-13710,WT + MO3-pax3a,xanthophore,ZDB-PUB-080422-3,pax3a,Skin
ZDB-FISH-150901-13710,WT + MO3-pax3a,melanophore stripe,ZDB-PUB-080422-3,pax3a,Skin
ZDB-FISH-150901-22839,WT + MO2-pax3a,pharyngeal arch,ZDB-PUB-090505-16,pax3a,Nervous
ZDB-FISH-150901-22839,WT + MO2-pax3a,medial rectus,ZDB-PUB-090505-16,pax3a,Nervous
ZDB-FISH-150901-22839,WT + MO2-pax3a,ventral rectus,ZDB-PUB-090505-16,pax3a,Nervous
ZDB-FISH-150901-22839,WT + MO2-pax3a,sternohyoid,ZDB-PUB-090505-16,pax3a,Skeletal
ZDB-FISH-221101-11,pax3a<sup>umu5/umu5</sup>; pax7b<sup>umu4/umu4</sup>,integument,ZDB-PUB-210827-6,pax3a,Skin
ZDB-FISH-150901-11134,zf13Tg + MO1-pax3b,branchiomeric skeletal muscle development,ZDB-PUB-130709-61,pax3b,Skeletal
ZDB-FISH-150901-11134,zf13Tg + MO1-pax3b,pectoral fin musculature,ZDB-PUB-130709-61,pax3b,Skeletal
ZDB-FISH-150901-11134,zf13Tg + MO1-pax3b,sternohyoid,ZDB-PUB-130709-61,pax3b,Skeletal
ZDB-FISH-150901-14688,WT + MO1-pax3b,esophagus,ZDB-PUB-130709-61,pax3b,Digestive
ZDB-FISH-150901-14688,WT + MO1-pax3b,mastication,ZDB-PUB-130709-61,pax3b,Digestive
ZDB-FISH-221101-13,pax3b<sup>umu6/umu6</sup>; pax7a<sup>umu3/umu3</sup>,integument,ZDB-PUB-210827-6,pax3b,Skin
ZDB-FISH-221101-17,pax3b<sup>umu6/umu6</sup>; pax7a<sup>umu3/umu3</sup>; pax3a<sup>umu5/umu5</sup>,primitive pectoral fin adductor,ZDB-PUB-210827-6,pax3b,Skeletal
